metric,better_is,stage_a,stage_b_v1,stage_b_v2,stage_b_v3,delta_v3_minus_v2,trend_vs_v2,delta_v3_minus_v1,trend_vs_v1,delta_v3_minus_stage_a,trend_vs_stage_a
energy_per_atom_mae,lower,0.36063316464424133,1.7711408138275146,1.7582813501358032,1.8758457899093628,0.11756443977355957,degraded,0.10470497608184814,degraded,1.5152126252651215,degraded
formation_energy_per_atom_mae,lower,0.07995843142271042,0.2150147259235382,0.21372807025909424,0.21473607420921326,0.0010080039501190186,degraded,-0.00027865171432495117,improved,0.13477764278650284,degraded
energy_above_hull_mae,lower,0.06442540138959885,0.12254685908555984,0.12410525232553482,0.12198513746261597,-0.0021201148629188538,improved,-0.0005617216229438782,improved,0.05755973607301712,degraded
band_gap_mae,lower,0.23080265522003174,0.540165364742279,0.5504846572875977,0.5507359504699707,0.0002512931823730469,degraded,0.01057058572769165,degraded,0.31993329524993896,degraded
cbm_mae,lower,0.2920956611633301,0.5939987301826477,0.6060177087783813,0.6187639832496643,0.012746274471282959,degraded,0.0247652530670166,degraded,0.32666832208633423,degraded
vbm_mae,lower,0.2593720853328705,0.47699928283691406,0.48850592970848083,0.49345770478248596,0.004951775074005127,degraded,0.0164584219455719,degraded,0.23408561944961548,degraded
efermi_mae,lower,0.38337263464927673,0.6185570359230042,0.6257385015487671,0.6324155926704407,0.006677091121673584,degraded,0.013858556747436523,degraded,0.24904295802116394,degraded
is_metal_auroc,higher,0.9575256581883087,0.9029001733108046,0.9035055912371919,0.9055788447171959,0.002073253480003978,improved,0.00267867140639122,improved,-0.05194681347111285,degraded
is_stable_auroc,higher,nan,0.8388653041968408,0.8378415882961578,0.8335297735797427,-0.004311814716415174,degraded,-0.005335530617098128,degraded,nan,N/A
bulk_modulus_vrh_mae,lower,nan,8.348682403564453,8.302389144897461,8.58546257019043,0.28307342529296875,degraded,0.23678016662597656,degraded,nan,N/A
shear_modulus_vrh_mae,lower,nan,10.382650375366211,10.22192096710205,10.674976348876953,0.45305538177490234,degraded,0.2923259735107422,degraded,nan,N/A
homogeneous_poisson_mae,lower,nan,0.0423395149409771,0.04232719540596008,0.04414500668644905,0.001817811280488968,degraded,0.0018054917454719543,degraded,nan,N/A
universal_anisotropy_mae,lower,nan,1.8195613622665405,1.8689502477645874,1.8656775951385498,-0.0032726526260375977,improved,0.04611623287200928,degraded,nan,N/A
